Start Time (s),Valence,Arousal,Dominance
0.0,0.4097,0.2332,0.3108
0.5,-0.1744,-0.0846,-0.1288
1.0,0.1256,0.2536,0.1874
1.5,0.0942,0.2943,0.1918
2.0,0.1679,0.3129,0.2358
2.5,-0.0819,-0.2937,-0.1856
3.0,0.3509,-0.1355,0.1073
3.5,-0.0642,-0.1606,-0.1119
4.0,-0.0026,0.2876,0.1415
4.5,0.1136,0.2836,0.196
5.0,0.1047,0.2532,0.177
5.5,0.0966,0.3072,0.1992
6.0,0.0075,0.2663,0.1361
6.5,0.0036,0.3271,0.1639
7.0,-0.2338,-0.314,-0.2672
7.5,0.9564,0.436,0.602
8.0,-0.073,0.0739,0.0005
8.5,0.1551,0.3007,0.2241
9.0,0.1082,0.3073,0.2048

